,年齢階級,運動習慣の有無,性別,歩行数,時間軸(年次),人数,割合
301,(再掲)75歳以上,有,女性,総数,2010年,106.0,100.0
302,(再掲)75歳以上,有,女性,"（再掲）9,200歩(男)/8,300歩(女)以上",2009年,42.0,17.6
303,(再掲)75歳以上,有,女性,"（再掲）9,200歩(男)/8,300歩(女)以上",2010年,11.0,10.4
304,(再掲)75歳以上,有,男性,"10,000歩以上",2009年,24.0,10.9
305,(再掲)75歳以上,有,男性,"10,000歩以上",2010年,13.0,11.6
306,(再掲)75歳以上,有,男性,"2,000歩-3,999歩",2009年,50.0,22.7
307,(再掲)75歳以上,有,男性,"2,000歩-3,999歩",2010年,27.0,24.1
308,(再掲)75歳以上,有,男性,"2,000歩未満",2009年,36.0,16.4
309,(再掲)75歳以上,有,男性,"2,000歩未満",2010年,18.0,16.1
310,(再掲)75歳以上,有,男性,"4,000歩-5,999歩",2009年,48.0,21.8
311,(再掲)75歳以上,有,男性,"4,000歩-5,999歩",2010年,22.0,19.6
312,(再掲)75歳以上,有,男性,"6,000歩-7,999歩",2009年,28.0,12.7
313,(再掲)75歳以上,有,男性,"6,000歩-7,999歩",2010年,19.0,17.0
314,(再掲)75歳以上,有,男性,"8,000歩-9,999歩",2009年,34.0,15.5
315,(再掲)75歳以上,有,男性,"8,000歩-9,999歩",2010年,13.0,11.6
316,(再掲)75歳以上,有,男性,総数,2009年,220.0,100.0
317,(再掲)75歳以上,有,男性,総数,2010年,112.0,100.0
318,(再掲)75歳以上,有,男性,"（再掲）9,200歩(男)/8,300歩(女)以上",2009年,30.0,13.6
319,(再掲)75歳以上,有,男性,"（再掲）9,200歩(男)/8,300歩(女)以上",2010年,16.0,14.3
320,(再掲)75歳以上,有,総数,"10,000歩以上",2009年,38.0,8.3
321,(再掲)75歳以上,有,総数,"10,000歩以上",2010年,17.0,7.8
322,(再掲)75歳以上,有,総数,"2,000歩-3,999歩",2009年,98.0,21.4
323,(再掲)75歳以上,有,総数,"2,000歩-3,999歩",2010年,62.0,28.4
324,(再掲)75歳以上,有,総数,"2,000歩未満",2009年,80.0,17.5
325,(再掲)75歳以上,有,総数,"2,000歩未満",2010年,35.0,16.1
326,(再掲)75歳以上,有,総数,"4,000歩-5,999歩",2009年,108.0,23.6
327,(再掲)75歳以上,有,総数,"4,000歩-5,999歩",2010年,44.0,20.2
328,(再掲)75歳以上,有,総数,"6,000歩-7,999歩",2009年,68.0,14.8
329,(再掲)75歳以上,有,総数,"6,000歩-7,999歩",2010年,39.0,17.9
330,(再掲)75歳以上,有,総数,"8,000歩-9,999歩",2009年,66.0,14.4
331,(再掲)75歳以上,有,総数,"8,000歩-9,999歩",2010年,21.0,9.6
332,(再掲)75歳以上,有,総数,総数,2009年,458.0,100.0
333,(再掲)75歳以上,有,総数,総数,2010年,218.0,100.0
334,(再掲)75歳以上,有,総数,"（再掲）9,200歩(男)/8,300歩(女)以上",2009年,72.0,15.7
335,(再掲)75歳以上,有,総数,"（再掲）9,200歩(男)/8,300歩(女)以上",2010年,27.0,12.4
336,(再掲)75歳以上,無_その他,女性,"10,000歩以上",2009年,10.0,2.3
337,(再掲)75歳以上,無_その他,女性,"10,000歩以上",2010年,3.0,1.6
338,(再掲)75歳以上,無_その他,女性,"2,000歩-3,999歩",2009年,142.0,33.0
339,(再掲)75歳以上,無_その他,女性,"2,000歩-3,999歩",2010年,52.0,28.4
340,(再掲)75歳以上,無_その他,女性,"2,000歩未満",2009年,152.0,35.3
341,(再掲)75歳以上,無_その他,女性,"2,000歩未満",2010年,77.0,42.1
342,(再掲)75歳以上,無_その他,女性,"4,000歩-5,999歩",2009年,72.0,16.7
343,(再掲)75歳以上,無_その他,女性,"4,000歩-5,999歩",2010年,33.0,18.0
344,(再掲)75歳以上,無_その他,女性,"6,000歩-7,999歩",2009年,42.0,9.8
345,(再掲)75歳以上,無_その他,女性,"6,000歩-7,999歩",2010年,10.0,5.5
346,(再掲)75歳以上,無_その他,女性,"8,000歩-9,999歩",2009年,12.0,2.8
347,(再掲)75歳以上,無_その他,女性,"8,000歩-9,999歩",2010年,8.0,4.4
348,(再掲)75歳以上,無_その他,女性,総数,2009年,430.0,100.0
349,(再掲)75歳以上,無_その他,女性,総数,2010年,183.0,100.0
350,(再掲)75歳以上,無_その他,女性,"（再掲）9,200歩(男)/8,300歩(女)以上",2009年,20.0,4.7
351,(再掲)75歳以上,無_その他,女性,"（再掲）9,200歩(男)/8,300歩(女)以上",2010年,9.0,4.9
352,(再掲)75歳以上,無_その他,男性,"10,000歩以上",2009年,10.0,4.2
353,(再掲)75歳以上,無_その他,男性,"10,000歩以上",2010年,3.0,2.3
354,(再掲)75歳以上,無_その他,男性,"2,000歩-3,999歩",2009年,72.0,30.0
355,(再掲)75歳以上,無_その他,男性,"2,000歩-3,999歩",2010年,35.0,26.7
356,(再掲)75歳以上,無_その他,男性,"2,000歩未満",2009年,86.0,35.8
357,(再掲)75歳以上,無_その他,男性,"2,000歩未満",2010年,52.0,39.7
358,(再掲)75歳以上,無_その他,男性,"4,000歩-5,999歩",2009年,40.0,16.7
359,(再掲)75歳以上,無_その他,男性,"4,000歩-5,999歩",2010年,25.0,19.1
360,(再掲)75歳以上,無_その他,男性,"6,000歩-7,999歩",2009年,16.0,6.7
361,(再掲)75歳以上,無_その他,男性,"6,000歩-7,999歩",2010年,11.0,8.4
362,(再掲)75歳以上,無_その他,男性,"8,000歩-9,999歩",2009年,16.0,6.7
363,(再掲)75歳以上,無_その他,男性,"8,000歩-9,999歩",2010年,5.0,3.8
364,(再掲)75歳以上,無_その他,男性,総数,2009年,240.0,100.0
365,(再掲)75歳以上,無_その他,男性,総数,2010年,131.0,100.0
366,(再掲)75歳以上,無_その他,男性,"（再掲）9,200歩(男)/8,300歩(女)以上",2009年,14.0,5.8
367,(再掲)75歳以上,無_その他,男性,"（再掲）9,200歩(男)/8,300歩(女)以上",2010年,4.0,3.1
368,(再掲)75歳以上,無_その他,総数,"10,000歩以上",2009年,20.0,3.0
369,(再掲)75歳以上,無_その他,総数,"10,000歩以上",2010年,6.0,1.9
370,(再掲)75歳以上,無_その他,総数,"2,000歩-3,999歩",2009年,214.0,31.9
371,(再掲)75歳以上,無_その他,総数,"2,000歩-3,999歩",2010年,87.0,27.7
372,(再掲)75歳以上,無_その他,総数,"2,000歩未満",2009年,238.0,35.5
373,(再掲)75歳以上,無_その他,総数,"2,000歩未満",2010年,129.0,41.1
374,(再掲)75歳以上,無_その他,総数,"4,000歩-5,999歩",2009年,112.0,16.7
375,(再掲)75歳以上,無_その他,総数,"4,000歩-5,999歩",2010年,58.0,18.5
376,(再掲)75歳以上,無_その他,総数,"6,000歩-7,999歩",2009年,58.0,8.7
377,(再掲)75歳以上,無_その他,総数,"6,000歩-7,999歩",2010年,21.0,6.7
378,(再掲)75歳以上,無_その他,総数,"8,000歩-9,999歩",2009年,28.0,4.2
379,(再掲)75歳以上,無_その他,総数,"8,000歩-9,999歩",2010年,13.0,4.1
380,(再掲)75歳以上,無_その他,総数,総数,2009年,670.0,100.0
381,(再掲)75歳以上,無_その他,総数,総数,2010年,314.0,100.0
382,(再掲)75歳以上,無_その他,総数,"（再掲）9,200歩(男)/8,300歩(女)以上",2009年,34.0,5.1
383,(再掲)75歳以上,無_その他,総数,"（再掲）9,200歩(男)/8,300歩(女)以上",2010年,13.0,4.1
384,(再掲)75歳以上,無_健康上の理由,女性,"10,000歩以上",2009年,0.0,0.0
385,(再掲)75歳以上,無_健康上の理由,女性,"10,000歩以上",2010年,0.0,0.0
386,(再掲)75歳以上,無_健康上の理由,女性,"2,000歩-3,999歩",2009年,42.0,22.1
387,(再掲)75歳以上,無_健康上の理由,女性,"2,000歩-3,999歩",2010年,21.0,26.9
388,(再掲)75歳以上,無_健康上の理由,女性,"2,000歩未満",2009年,128.0,67.4
389,(再掲)75歳以上,無_健康上の理由,女性,"2,000歩未満",2010年,48.0,61.5
390,(再掲)75歳以上,無_健康上の理由,女性,"4,000歩-5,999歩",2009年,16.0,8.4
391,(再掲)75歳以上,無_健康上の理由,女性,"4,000歩-5,999歩",2010年,7.0,9.0
392,(再掲)75歳以上,無_健康上の理由,女性,"6,000歩-7,999歩",2009年,2.0,1.1
393,(再掲)75歳以上,無_健康上の理由,女性,"6,000歩-7,999歩",2010年,2.0,2.6
394,(再掲)75歳以上,無_健康上の理由,女性,"8,000歩-9,999歩",2009年,2.0,1.1
395,(再掲)75歳以上,無_健康上の理由,女性,"8,000歩-9,999歩",2010年,0.0,0.0
396,(再掲)75歳以上,無_健康上の理由,女性,総数,2009年,190.0,100.0
397,(再掲)75歳以上,無_健康上の理由,女性,総数,2010年,78.0,100.0
398,(再掲)75歳以上,無_健康上の理由,女性,"（再掲）9,200歩(男)/8,300歩(女)以上",2009年,2.0,1.1
399,(再掲)75歳以上,無_健康上の理由,女性,"（再掲）9,200歩(男)/8,300歩(女)以上",2010年,0.0,0.0
400,(再掲)75歳以上,無_健康上の理由,男性,"10,000歩以上",2009年,0.0,0.0
401,(再掲)75歳以上,無_健康上の理由,男性,"10,000歩以上",2010年,0.0,0.0
402,(再掲)75歳以上,無_健康上の理由,男性,"2,000歩-3,999歩",2009年,24.0,21.4
403,(再掲)75歳以上,無_健康上の理由,男性,"2,000歩-3,999歩",2010年,7.0,23.3
404,(再掲)75歳以上,無_健康上の理由,男性,"2,000歩未満",2009年,78.0,69.6
405,(再掲)75歳以上,無_健康上の理由,男性,"2,000歩未満",2010年,18.0,60.0
406,(再掲)75歳以上,無_健康上の理由,男性,"4,000歩-5,999歩",2009年,2.0,1.8
407,(再掲)75歳以上,無_健康上の理由,男性,"4,000歩-5,999歩",2010年,1.0,3.3
408,(再掲)75歳以上,無_健康上の理由,男性,"6,000歩-7,999歩",2009年,8.0,7.1
409,(再掲)75歳以上,無_健康上の理由,男性,"6,000歩-7,999歩",2010年,4.0,13.3
410,(再掲)75歳以上,無_健康上の理由,男性,"8,000歩-9,999歩",2009年,0.0,0.0
411,(再掲)75歳以上,無_健康上の理由,男性,"8,000歩-9,999歩",2010年,0.0,0.0
412,(再掲)75歳以上,無_健康上の理由,男性,総数,2009年,112.0,100.0
413,(再掲)75歳以上,無_健康上の理由,男性,総数,2010年,30.0,100.0
414,(再掲)75歳以上,無_健康上の理由,男性,"（再掲）9,200歩(男)/8,300歩(女)以上",2009年,0.0,0.0
415,(再掲)75歳以上,無_健康上の理由,男性,"（再掲）9,200歩(男)/8,300歩(女)以上",2010年,0.0,0.0
416,(再掲)75歳以上,無_健康上の理由,総数,"10,000歩以上",2009年,0.0,0.0
417,(再掲)75歳以上,無_健康上の理由,総数,"10,000歩以上",2010年,0.0,0.0
418,(再掲)75歳以上,無_健康上の理由,総数,"2,000歩-3,999歩",2009年,66.0,21.9
419,(再掲)75歳以上,無_健康上の理由,総数,"2,000歩-3,999歩",2010年,28.0,25.9
420,(再掲)75歳以上,無_健康上の理由,総数,"2,000歩未満",2009年,206.0,68.2
421,(再掲)75歳以上,無_健康上の理由,総数,"2,000歩未満",2010年,66.0,61.1
422,(再掲)75歳以上,無_健康上の理由,総数,"4,000歩-5,999歩",2009年,18.0,6.0
423,(再掲)75歳以上,無_健康上の理由,総数,"4,000歩-5,999歩",2010年,8.0,7.4
424,(再掲)75歳以上,無_健康上の理由,総数,"6,000歩-7,999歩",2009年,10.0,3.3
425,(再掲)75歳以上,無_健康上の理由,総数,"6,000歩-7,999歩",2010年,6.0,5.6
426,(再掲)75歳以上,無_健康上の理由,総数,"8,000歩-9,999歩",2009年,2.0,0.7
427,(再掲)75歳以上,無_健康上の理由,総数,"8,000歩-9,999歩",2010年,0.0,0.0
428,(再掲)75歳以上,無_健康上の理由,総数,総数,2009年,302.0,100.0
429,(再掲)75歳以上,無_健康上の理由,総数,総数,2010年,108.0,100.0
430,(再掲)75歳以上,無_健康上の理由,総数,"（再掲）9,200歩(男)/8,300歩(女)以上",2009年,2.0,0.7
431,(再掲)75歳以上,無_健康上の理由,総数,"（再掲）9,200歩(男)/8,300歩(女)以上",2010年,0.0,0.0
432,(再掲)75歳以上,総数,女性,"10,000歩以上",2009年,24.0,2.8
433,(再掲)75歳以上,総数,女性,"10,000歩以上",2010年,7.0,1.9
434,(再掲)75歳以上,総数,女性,"2,000歩-3,999歩",2009年,232.0,27.0
435,(再掲)75歳以上,総数,女性,"2,000歩-3,999歩",2010年,108.0,29.4
436,(再掲)75歳以上,総数,女性,"2,000歩未満",2009年,324.0,37.8
437,(再掲)75歳以上,総数,女性,"2,000歩未満",2010年,142.0,38.7
438,(再掲)75歳以上,総数,女性,"4,000歩-5,999歩",2009年,148.0,17.2
439,(再掲)75歳以上,総数,女性,"4,000歩-5,999歩",2010年,62.0,16.9
440,(再掲)75歳以上,総数,女性,"6,000歩-7,999歩",2009年,84.0,9.8
441,(再掲)75歳以上,総数,女性,"6,000歩-7,999歩",2010年,32.0,8.7
442,(再掲)75歳以上,総数,女性,"8,000歩-9,999歩",2009年,46.0,5.4
443,(再掲)75歳以上,総数,女性,"8,000歩-9,999歩",2010年,16.0,4.4
444,(再掲)75歳以上,総数,女性,総数,2009年,858.0,100.0
445,(再掲)75歳以上,総数,女性,総数,2010年,367.0,100.0
446,(再掲)75歳以上,総数,女性,"（再掲）9,200歩(男)/8,300歩(女)以上",2009年,64.0,7.5
447,(再掲)75歳以上,総数,女性,"（再掲）9,200歩(男)/8,300歩(女)以上",2010年,20.0,5.4
448,(再掲)75歳以上,総数,男性,"10,000歩以上",2009年,34.0,5.9
449,(再掲)75歳以上,総数,男性,"10,000歩以上",2010年,16.0,5.9
450,(再掲)75歳以上,総数,男性,"2,000歩-3,999歩",2009年,146.0,25.5
451,(再掲)75歳以上,総数,男性,"2,000歩-3,999歩",2010年,69.0,25.3
452,(再掲)75歳以上,総数,男性,"2,000歩未満",2009年,200.0,35.0
453,(再掲)75歳以上,総数,男性,"2,000歩未満",2010年,88.0,32.2
454,(再掲)75歳以上,総数,男性,"4,000歩-5,999歩",2009年,90.0,15.7
455,(再掲)75歳以上,総数,男性,"4,000歩-5,999歩",2010年,48.0,17.6
456,(再掲)75歳以上,総数,男性,"6,000歩-7,999歩",2009年,52.0,9.1
457,(再掲)75歳以上,総数,男性,"6,000歩-7,999歩",2010年,34.0,12.5
458,(再掲)75歳以上,総数,男性,"8,000歩-9,999歩",2009年,50.0,8.7
459,(再掲)75歳以上,総数,男性,"8,000歩-9,999歩",2010年,18.0,6.6
460,(再掲)75歳以上,総数,男性,総数,2009年,572.0,100.0
461,(再掲)75歳以上,総数,男性,総数,2010年,273.0,100.0
462,(再掲)75歳以上,総数,男性,"（再掲）9,200歩(男)/8,300歩(女)以上",2009年,44.0,7.7
463,(再掲)75歳以上,総数,男性,"（再掲）9,200歩(男)/8,300歩(女)以上",2010年,20.0,7.3
464,(再掲)75歳以上,総数,総数,"10,000歩以上",2009年,58.0,4.1
465,(再掲)75歳以上,総数,総数,"10,000歩以上",2010年,23.0,3.6
466,(再掲)75歳以上,総数,総数,"2,000歩-3,999歩",2009年,378.0,26.4
467,(再掲)75歳以上,総数,総数,"2,000歩-3,999歩",2010年,177.0,27.7
468,(再掲)75歳以上,総数,総数,"2,000歩未満",2009年,524.0,36.6
469,(再掲)75歳以上,総数,総数,"2,000歩未満",2010年,230.0,35.9
470,(再掲)75歳以上,総数,総数,"4,000歩-5,999歩",2009年,238.0,16.6
471,(再掲)75歳以上,総数,総数,"4,000歩-5,999歩",2010年,110.0,17.2
472,(再掲)75歳以上,総数,総数,"6,000歩-7,999歩",2009年,136.0,9.5
473,(再掲)75歳以上,総数,総数,"6,000歩-7,999歩",2010年,66.0,10.3
474,(再掲)75歳以上,総数,総数,"8,000歩-9,999歩",2009年,96.0,6.7
475,(再掲)75歳以上,総数,総数,"8,000歩-9,999歩",2010年,34.0,5.3
476,(再掲)75歳以上,総数,総数,総数,2009年,1430.0,100.0
477,(再掲)75歳以上,総数,総数,総数,2010年,640.0,100.0
478,(再掲)75歳以上,総数,総数,"（再掲）9,200歩(男)/8,300歩(女)以上",2009年,108.0,7.6
479,(再掲)75歳以上,総数,総数,"（再掲）9,200歩(男)/8,300歩(女)以上",2010年,40.0,6.3
480,20歳-29歳,有,女性,"10,000歩以上",2009年,7.0,35.0
481,20歳-29歳,有,女性,"10,000歩以上",2010年,2.0,14.3
482,20歳-29歳,有,女性,"2,000歩-3,999歩",2009年,1.0,5.0
483,20歳-29歳,有,女性,"2,000歩-3,999歩",2010年,2.0,14.3
484,20歳-29歳,有,女性,"2,000歩未満",2009年,0.0,0.0
485,20歳-29歳,有,女性,"2,000歩未満",2010年,1.0,7.1
486,20歳-29歳,有,女性,"4,000歩-5,999歩",2009年,5.0,25.0
487,20歳-29歳,有,女性,"4,000歩-5,999歩",2010年,1.0,7.1
488,20歳-29歳,有,女性,"6,000歩-7,999歩",2009年,2.0,10.0
489,20歳-29歳,有,女性,"6,000歩-7,999歩",2010年,6.0,42.9
490,20歳-29歳,有,女性,"8,000歩-9,999歩",2009年,5.0,25.0
491,20歳-29歳,有,女性,"8,000歩-9,999歩",2010年,2.0,14.3
492,20歳-29歳,有,女性,総数,2009年,20.0,100.0
493,20歳-29歳,有,女性,総数,2010年,14.0,100.0
494,20歳-29歳,有,女性,"（再掲）9,200歩(男)/8,300歩(女)以上",2009年,11.0,55.0
495,20歳-29歳,有,女性,"（再掲）9,200歩(男)/8,300歩(女)以上",2010年,4.0,28.6
496,20歳-29歳,有,男性,"10,000歩以上",2009年,11.0,40.7
497,20歳-29歳,有,男性,"10,000歩以上",2010年,10.0,33.3
498,20歳-29歳,有,男性,"2,000歩-3,999歩",2009年,4.0,14.8
499,20歳-29歳,有,男性,"2,000歩-3,999歩",2010年,4.0,13.3
500,20歳-29歳,有,男性,"2,000歩未満",2009年,0.0,0.0
501,20歳-29歳,有,男性,"2,000歩未満",2010年,1.0,3.3
502,20歳-29歳,有,男性,"4,000歩-5,999歩",2009年,5.0,18.5
503,20歳-29歳,有,男性,"4,000歩-5,999歩",2010年,4.0,13.3
504,20歳-29歳,有,男性,"6,000歩-7,999歩",2009年,4.0,14.8
505,20歳-29歳,有,男性,"6,000歩-7,999歩",2010年,8.0,26.7
506,20歳-29歳,有,男性,"8,000歩-9,999歩",2009年,3.0,11.1
507,20歳-29歳,有,男性,"8,000歩-9,999歩",2010年,3.0,10.0
508,20歳-29歳,有,男性,総数,2009年,27.0,100.0
509,20歳-29歳,有,男性,総数,2010年,30.0,100.0
510,20歳-29歳,有,男性,"（再掲）9,200歩(男)/8,300歩(女)以上",2009年,12.0,44.4
511,20歳-29歳,有,男性,"（再掲）9,200歩(男)/8,300歩(女)以上",2010年,10.0,33.3
512,20歳-29歳,有,総数,"10,000歩以上",2009年,18.0,38.3
513,20歳-29歳,有,総数,"10,000歩以上",2010年,12.0,27.3
514,20歳-29歳,有,総数,"2,000歩-3,999歩",2009年,5.0,10.6
515,20歳-29歳,有,総数,"2,000歩-3,999歩",2010年,6.0,13.6
516,20歳-29歳,有,総数,"2,000歩未満",2009年,0.0,0.0
517,20歳-29歳,有,総数,"2,000歩未満",2010年,2.0,4.5
518,20歳-29歳,有,総数,"4,000歩-5,999歩",2009年,10.0,21.3
519,20歳-29歳,有,総数,"4,000歩-5,999歩",2010年,5.0,11.4
520,20歳-29歳,有,総数,"6,000歩-7,999歩",2009年,6.0,12.8
521,20歳-29歳,有,総数,"6,000歩-7,999歩",2010年,14.0,31.8
522,20歳-29歳,有,総数,"8,000歩-9,999歩",2009年,8.0,17.0
523,20歳-29歳,有,総数,"8,000歩-9,999歩",2010年,5.0,11.4
524,20歳-29歳,有,総数,総数,2009年,47.0,100.0
525,20歳-29歳,有,総数,総数,2010年,44.0,100.0
526,20歳-29歳,有,総数,"（再掲）9,200歩(男)/8,300歩(女)以上",2009年,23.0,48.9
527,20歳-29歳,有,総数,"（再掲）9,200歩(男)/8,300歩(女)以上",2010年,14.0,31.8
528,20歳-29歳,無_その他,女性,"10,000歩以上",2009年,33.0,23.4
529,20歳-29歳,無_その他,女性,"10,000歩以上",2010年,20.0,15.9
530,20歳-29歳,無_その他,女性,"2,000歩-3,999歩",2009年,19.0,13.5
531,20歳-29歳,無_その他,女性,"2,000歩-3,999歩",2010年,24.0,19.0
532,20歳-29歳,無_その他,女性,"2,000歩未満",2009年,4.0,2.8
533,20歳-29歳,無_その他,女性,"2,000歩未満",2010年,9.0,7.1
534,20歳-29歳,無_その他,女性,"4,000歩-5,999歩",2009年,32.0,22.7
535,20歳-29歳,無_その他,女性,"4,000歩-5,999歩",2010年,29.0,23.0
536,20歳-29歳,無_その他,女性,"6,000歩-7,999歩",2009年,26.0,18.4
537,20歳-29歳,無_その他,女性,"6,000歩-7,999歩",2010年,25.0,19.8
538,20歳-29歳,無_その他,女性,"8,000歩-9,999歩",2009年,27.0,19.1
539,20歳-29歳,無_その他,女性,"8,000歩-9,999歩",2010年,19.0,15.1
540,20歳-29歳,無_その他,女性,総数,2009年,141.0,100.0
541,20歳-29歳,無_その他,女性,総数,2010年,126.0,100.0
542,20歳-29歳,無_その他,女性,"（再掲）9,200歩(男)/8,300歩(女)以上",2009年,59.0,41.8
543,20歳-29歳,無_その他,女性,"（再掲）9,200歩(男)/8,300歩(女)以上",2010年,36.0,28.6
544,20歳-29歳,無_その他,男性,"10,000歩以上",2009年,26.0,33.8
545,20歳-29歳,無_その他,男性,"10,000歩以上",2010年,20.0,26.7
546,20歳-29歳,無_その他,男性,"2,000歩-3,999歩",2009年,9.0,11.7
547,20歳-29歳,無_その他,男性,"2,000歩-3,999歩",2010年,9.0,12.0
548,20歳-29歳,無_その他,男性,"2,000歩未満",2009年,4.0,5.2
549,20歳-29歳,無_その他,男性,"2,000歩未満",2010年,5.0,6.7
550,20歳-29歳,無_その他,男性,"4,000歩-5,999歩",2009年,13.0,16.9
551,20歳-29歳,無_その他,男性,"4,000歩-5,999歩",2010年,16.0,21.3
552,20歳-29歳,無_その他,男性,"6,000歩-7,999歩",2009年,14.0,18.2
553,20歳-29歳,無_その他,男性,"6,000歩-7,999歩",2010年,13.0,17.3
554,20歳-29歳,無_その他,男性,"8,000歩-9,999歩",2009年,11.0,14.3
555,20歳-29歳,無_その他,男性,"8,000歩-9,999歩",2010年,12.0,16.0
556,20歳-29歳,無_その他,男性,総数,2009年,77.0,100.0
557,20歳-29歳,無_その他,男性,総数,2010年,75.0,100.0
558,20歳-29歳,無_その他,男性,"（再掲）9,200歩(男)/8,300歩(女)以上",2009年,28.0,36.4
559,20歳-29歳,無_その他,男性,"（再掲）9,200歩(男)/8,300歩(女)以上",2010年,24.0,32.0
560,20歳-29歳,無_その他,総数,"10,000歩以上",2009年,59.0,27.1
561,20歳-29歳,無_その他,総数,"10,000歩以上",2010年,40.0,19.9
562,20歳-29歳,無_その他,総数,"2,000歩-3,999歩",2009年,28.0,12.8
563,20歳-29歳,無_その他,総数,"2,000歩-3,999歩",2010年,33.0,16.4
564,20歳-29歳,無_その他,総数,"2,000歩未満",2009年,8.0,3.7
565,20歳-29歳,無_その他,総数,"2,000歩未満",2010年,14.0,7.0
566,20歳-29歳,無_その他,総数,"4,000歩-5,999歩",2009年,45.0,20.6
567,20歳-29歳,無_その他,総数,"4,000歩-5,999歩",2010年,45.0,22.4
568,20歳-29歳,無_その他,総数,"6,000歩-7,999歩",2009年,40.0,18.3
569,20歳-29歳,無_その他,総数,"6,000歩-7,999歩",2010年,38.0,18.9
570,20歳-29歳,無_その他,総数,"8,000歩-9,999歩",2009年,38.0,17.4
571,20歳-29歳,無_その他,総数,"8,000歩-9,999歩",2010年,31.0,15.4
572,20歳-29歳,無_その他,総数,総数,2009年,218.0,100.0
573,20歳-29歳,無_その他,総数,総数,2010年,201.0,100.0
574,20歳-29歳,無_その他,総数,"（再掲）9,200歩(男)/8,300歩(女)以上",2009年,87.0,39.9
575,20歳-29歳,無_その他,総数,"（再掲）9,200歩(男)/8,300歩(女)以上",2010年,60.0,29.9
576,20歳-29歳,無_健康上の理由,女性,"10,000歩以上",2009年,0.0,0.0
577,20歳-29歳,無_健康上の理由,女性,"10,000歩以上",2010年,0.0,0.0
578,20歳-29歳,無_健康上の理由,女性,"2,000歩-3,999歩",2009年,1.0,50.0
579,20歳-29歳,無_健康上の理由,女性,"2,000歩-3,999歩",2010年,0.0,0.0
580,20歳-29歳,無_健康上の理由,女性,"2,000歩未満",2009年,0.0,0.0
581,20歳-29歳,無_健康上の理由,女性,"2,000歩未満",2010年,1.0,33.3
582,20歳-29歳,無_健康上の理由,女性,"4,000歩-5,999歩",2009年,0.0,0.0
583,20歳-29歳,無_健康上の理由,女性,"4,000歩-5,999歩",2010年,1.0,33.3
584,20歳-29歳,無_健康上の理由,女性,"6,000歩-7,999歩",2009年,1.0,50.0
585,20歳-29歳,無_健康上の理由,女性,"6,000歩-7,999歩",2010年,1.0,33.3
586,20歳-29歳,無_健康上の理由,女性,"8,000歩-9,999歩",2009年,0.0,0.0
587,20歳-29歳,無_健康上の理由,女性,"8,000歩-9,999歩",2010年,0.0,0.0
588,20歳-29歳,無_健康上の理由,女性,総数,2009年,2.0,100.0
589,20歳-29歳,無_健康上の理由,女性,総数,2010年,3.0,100.0
590,20歳-29歳,無_健康上の理由,女性,"（再掲）9,200歩(男)/8,300歩(女)以上",2009年,0.0,0.0
591,20歳-29歳,無_健康上の理由,女性,"（再掲）9,200歩(男)/8,300歩(女)以上",2010年,0.0,0.0
592,20歳-29歳,無_健康上の理由,男性,"10,000歩以上",2009年,0.0,0.0
593,20歳-29歳,無_健康上の理由,男性,"10,000歩以上",2010年,0.0,0.0
594,20歳-29歳,無_健康上の理由,男性,"2,000歩-3,999歩",2009年,1.0,100.0
595,20歳-29歳,無_健康上の理由,男性,"2,000歩-3,999歩",2010年,0.0,0.0
596,20歳-29歳,無_健康上の理由,男性,"2,000歩未満",2009年,0.0,0.0
597,20歳-29歳,無_健康上の理由,男性,"2,000歩未満",2010年,0.0,0.0
598,20歳-29歳,無_健康上の理由,男性,"4,000歩-5,999歩",2009年,0.0,0.0
599,20歳-29歳,無_健康上の理由,男性,"4,000歩-5,999歩",2010年,0.0,0.0
600,20歳-29歳,無_健康上の理由,男性,"6,000歩-7,999歩",2009年,0.0,0.0
601,20歳-29歳,無_健康上の理由,男性,"6,000歩-7,999歩",2010年,0.0,0.0
602,20歳-29歳,無_健康上の理由,男性,"8,000歩-9,999歩",2009年,0.0,0.0
603,20歳-29歳,無_健康上の理由,男性,"8,000歩-9,999歩",2010年,0.0,0.0
604,20歳-29歳,無_健康上の理由,男性,総数,2009年,1.0,100.0
605,20歳-29歳,無_健康上の理由,男性,総数,2010年,0.0,0.0
606,20歳-29歳,無_健康上の理由,男性,"（再掲）9,200歩(男)/8,300歩(女)以上",2009年,0.0,0.0
607,20歳-29歳,無_健康上の理由,男性,"（再掲）9,200歩(男)/8,300歩(女)以上",2010年,0.0,0.0
608,20歳-29歳,無_健康上の理由,総数,"10,000歩以上",2009年,0.0,0.0
609,20歳-29歳,無_健康上の理由,総数,"10,000歩以上",2010年,0.0,0.0
610,20歳-29歳,無_健康上の理由,総数,"2,000歩-3,999歩",2009年,2.0,66.7
611,20歳-29歳,無_健康上の理由,総数,"2,000歩-3,999歩",2010年,0.0,0.0
612,20歳-29歳,無_健康上の理由,総数,"2,000歩未満",2009年,0.0,0.0
613,20歳-29歳,無_健康上の理由,総数,"2,000歩未満",2010年,1.0,33.3
614,20歳-29歳,無_健康上の理由,総数,"4,000歩-5,999歩",2009年,0.0,0.0
615,20歳-29歳,無_健康上の理由,総数,"4,000歩-5,999歩",2010年,1.0,33.3
616,20歳-29歳,無_健康上の理由,総数,"6,000歩-7,999歩",2009年,1.0,33.3
