,年齢階級,回答（はい・いいえ）,性別,歩数を増やすことの意識,時間軸(年次),人数,平均値
299,70歳以上,はい,女性,意識的に歩くように心がければ増やせると思う,2010年,427.0,4592.0
300,70歳以上,はい,女性,時間がないから増やせないと思う,2010年,18.0,3123.0
301,70歳以上,はい,女性,歩くことが好きではないから増やせないと思う,2010年,13.0,2940.0
302,70歳以上,はい,女性,歩く場所がないから増やせないと思う,2010年,5.0,1454.0
303,70歳以上,はい,女性,現在、十分に歩いているから増やせないと思う,2010年,118.0,5093.0
304,70歳以上,はい,女性,病気など健康上の理由から増やせないと思う,2010年,186.0,2078.0
305,70歳以上,はい,女性,面倒だから増やせないと思う,2010年,13.0,1160.0
306,70歳以上,はい,男性,あてはまるものがない,2010年,18.0,3383.0
307,70歳以上,はい,男性,家事でよく身体を動かすようにすれば増やせると思う,2010年,62.0,4902.0
308,70歳以上,はい,男性,意識的に歩くように心がければ増やせると思う,2010年,387.0,5200.0
309,70歳以上,はい,男性,時間がないから増やせないと思う,2010年,14.0,3152.0
310,70歳以上,はい,男性,歩くことが好きではないから増やせないと思う,2010年,24.0,3194.0
311,70歳以上,はい,男性,歩く場所がないから増やせないと思う,2010年,4.0,1415.0
312,70歳以上,はい,男性,現在、十分に歩いているから増やせないと思う,2010年,109.0,7752.0
313,70歳以上,はい,男性,病気など健康上の理由から増やせないと思う,2010年,97.0,2132.0
314,70歳以上,はい,男性,面倒だから増やせないと思う,2010年,17.0,2505.0
315,70歳以上,はい,総数,あてはまるものがない,2010年,42.0,2637.0
316,70歳以上,はい,総数,家事でよく身体を動かすようにすれば増やせると思う,2010年,212.0,4432.0
317,70歳以上,はい,総数,意識的に歩くように心がければ増やせると思う,2010年,814.0,4881.0
318,70歳以上,はい,総数,時間がないから増やせないと思う,2010年,32.0,3136.0
319,70歳以上,はい,総数,歩くことが好きではないから増やせないと思う,2010年,37.0,3104.0
320,70歳以上,はい,総数,歩く場所がないから増やせないと思う,2010年,9.0,1437.0
321,70歳以上,はい,総数,現在、十分に歩いているから増やせないと思う,2010年,227.0,6369.0
322,70歳以上,はい,総数,病気など健康上の理由から増やせないと思う,2010年,283.0,2096.0
323,70歳以上,はい,総数,面倒だから増やせないと思う,2010年,30.0,1922.0
324,総数,いいえ,女性,あてはまるものがない,2010年,3587.0,6145.0
325,総数,いいえ,女性,家事でよく身体を動かすようにすれば増やせると思う,2010年,2844.0,6086.0
326,総数,いいえ,女性,意識的に歩くように心がければ増やせると思う,2010年,1321.0,5575.0
327,総数,いいえ,女性,時間がないから増やせないと思う,2010年,3305.0,6121.0
328,総数,いいえ,女性,歩くことが好きではないから増やせないと思う,2010年,3565.0,6144.0
329,総数,いいえ,女性,歩く場所がないから増やせないと思う,2010年,3611.0,6126.0
330,総数,いいえ,女性,現在、十分に歩いているから増やせないと思う,2010年,3308.0,5962.0
331,総数,いいえ,女性,病気など健康上の理由から増やせないと思う,2010年,3345.0,6432.0
332,総数,いいえ,女性,面倒だから増やせないと思う,2010年,3505.0,6159.0
333,総数,いいえ,男性,あてはまるものがない,2010年,3005.0,7130.0
334,総数,いいえ,男性,家事でよく身体を動かすようにすれば増やせると思う,2010年,2940.0,7170.0
335,総数,いいえ,男性,意識的に歩くように心がければ増やせると思う,2010年,1154.0,7123.0
336,総数,いいえ,男性,時間がないから増やせないと思う,2010年,2788.0,7137.0
337,総数,いいえ,男性,歩くことが好きではないから増やせないと思う,2010年,2980.0,7199.0
338,総数,いいえ,男性,歩く場所がないから増やせないと思う,2010年,3065.0,7151.0
339,総数,いいえ,男性,現在、十分に歩いているから増やせないと思う,2010年,2670.0,6721.0
340,総数,いいえ,男性,病気など健康上の理由から増やせないと思う,2010年,2951.0,7364.0
341,総数,いいえ,男性,面倒だから増やせないと思う,2010年,2925.0,7192.0
342,総数,いいえ,総数,あてはまるものがない,2010年,6592.0,6594.0
343,総数,いいえ,総数,家事でよく身体を動かすようにすれば増やせると思う,2010年,5784.0,6637.0
344,総数,いいえ,総数,意識的に歩くように心がければ増やせると思う,2010年,2475.0,6297.0
345,総数,いいえ,総数,時間がないから増やせないと思う,2010年,6093.0,6586.0
346,総数,いいえ,総数,歩くことが好きではないから増やせないと思う,2010年,6545.0,6624.0
347,総数,いいえ,総数,歩く場所がないから増やせないと思う,2010年,6676.0,6597.0
348,総数,いいえ,総数,現在、十分に歩いているから増やせないと思う,2010年,5978.0,6301.0
349,総数,いいえ,総数,病気など健康上の理由から増やせないと思う,2010年,6296.0,6869.0
350,総数,いいえ,総数,面倒だから増やせないと思う,2010年,6430.0,6629.0
351,総数,はい,女性,あてはまるものがない,2010年,71.0,5308.0
352,総数,はい,女性,家事でよく身体を動かすようにすれば増やせると思う,2010年,814.0,6280.0
353,総数,はい,女性,意識的に歩くように心がければ増やせると思う,2010年,2337.0,6442.0
354,総数,はい,女性,時間がないから増やせないと思う,2010年,353.0,6204.0
355,総数,はい,女性,歩くことが好きではないから増やせないと思う,2010年,93.0,5564.0
356,総数,はい,女性,歩く場所がないから増やせないと思う,2010年,47.0,6353.0
357,総数,はい,女性,現在、十分に歩いているから増やせないと思う,2010年,350.0,7711.0
358,総数,はい,女性,病気など健康上の理由から増やせないと思う,2010年,313.0,2888.0
359,総数,はい,女性,面倒だから増やせないと思う,2010年,153.0,5447.0
360,総数,はい,男性,あてはまるものがない,2010年,98.0,7231.0
361,総数,はい,男性,家事でよく身体を動かすようにすれば増やせると思う,2010年,163.0,6469.0
362,総数,はい,男性,意識的に歩くように心がければ増やせると思う,2010年,1949.0,7139.0
363,総数,はい,男性,時間がないから増やせないと思う,2010年,315.0,7099.0
364,総数,はい,男性,歩くことが好きではないから増やせないと思う,2010年,123.0,5546.0
365,総数,はい,男性,歩く場所がないから増やせないと思う,2010年,38.0,5694.0
366,総数,はい,男性,現在、十分に歩いているから増やせないと思う,2010年,433.0,9677.0
367,総数,はい,男性,病気など健康上の理由から増やせないと思う,2010年,152.0,2659.0
368,総数,はい,男性,面倒だから増やせないと思う,2010年,178.0,6168.0
369,総数,はい,総数,あてはまるものがない,2010年,169.0,6423.0
370,総数,はい,総数,家事でよく身体を動かすようにすれば増やせると思う,2010年,977.0,6311.0
371,総数,はい,総数,意識的に歩くように心がければ増やせると思う,2010年,4286.0,6759.0
372,総数,はい,総数,時間がないから増やせないと思う,2010年,668.0,6626.0
373,総数,はい,総数,歩くことが好きではないから増やせないと思う,2010年,216.0,5554.0
374,総数,はい,総数,歩く場所がないから増やせないと思う,2010年,85.0,6058.0
375,総数,はい,総数,現在、十分に歩いているから増やせないと思う,2010年,783.0,8798.0
376,総数,はい,総数,病気など健康上の理由から増やせないと思う,2010年,465.0,2813.0
377,総数,はい,総数,面倒だから増やせないと思う,2010年,331.0,5834.0
